Game,Score,Steps,Epsilon
376,96,2620,0
377,36,659,0
378,71,1921,0
379,71,1771,0
380,55,1194,0
381,34,618,0
382,46,996,0
383,57,1527,0
384,61,1270,0
385,95,2347,0
386,37,807,0
387,107,3364,0
388,77,2135,0
389,46,1125,0
390,62,1588,0
391,66,1522,0
392,94,2470,0
393,44,1030,0
394,91,2314,0
395,106,2874,0
396,58,1331,0
397,48,1167,0
398,74,1990,0
399,89,2612,0
400,74,1938,0
401,50,1295,0
402,69,1747,0
403,43,926,0
404,80,1794,0
405,67,1611,0
406,81,1998,0
407,56,1333,0
408,48,1111,0
409,55,1126,0
410,76,1846,0
411,53,1338,0
412,57,1262,0
413,73,1930,0
414,91,2388,0
415,66,1657,0
416,43,778,0
417,64,1615,0
418,43,860,0
419,56,1321,0
420,82,2252,0
421,54,1371,0
422,51,1173,0
423,71,1785,0
424,44,850,0
425,54,1207,0
426,96,2746,0
427,87,2214,0
428,67,1600,0
429,37,778,0
430,60,1379,0
431,91,2465,0
432,64,1331,0
433,55,1364,0
434,61,1423,0
435,70,1560,0
436,61,1371,0
437,66,1818,0
438,42,762,0
439,59,1372,0
440,42,824,0
441,38,870,0
442,48,920,0
443,54,1089,0
444,71,1847,0
445,59,1580,0
446,44,1076,0
447,37,775,0
448,61,1292,0
449,54,1314,0
450,55,1423,0
451,79,1959,0
452,45,902,0
453,90,3191,0
454,89,2791,0
455,51,1846,0
456,60,1432,0
457,96,2438,0
458,32,640,0
459,56,1210,0
460,74,1812,0
461,91,2698,0
462,38,692,0
463,56,1140,0
464,76,1815,0
465,46,978,0
466,87,2326,0
467,86,2157,0
468,82,2155,0
469,56,1271,0
470,86,2068,0
471,44,922,0
472,63,1429,0
473,56,1395,0
474,100,3031,0
475,32,629,0
476,72,2009,0
477,53,1459,0
478,54,1096,0
479,49,1121,0
480,55,1289,0
481,43,999,0
482,63,1448,0
483,66,1503,0
484,65,1661,0
485,58,1448,0
486,47,1035,0
487,74,1979,0
488,75,2105,0
489,33,681,0
490,73,2054,0
491,58,1331,0
492,38,907,0
493,69,1681,0
494,60,1423,0
495,72,1721,0
496,68,1932,0
497,36,641,0
498,42,955,0
499,53,1288,0
500,47,1063,0
501,32,802,0
502,48,1052,0
503,26,551,0
504,78,1867,0
505,61,1563,0
506,83,2269,0
507,60,1473,0
508,39,749,0
509,66,1569,0
510,55,1404,0
511,83,2165,0
512,71,1772,0
513,67,1797,0
514,79,2086,0
515,35,737,0
516,39,961,0
517,62,1537,0
518,76,1784,0
519,43,827,0
520,35,725,0
521,109,3456,0
522,62,1331,0
523,66,1520,0
524,51,1325,0
525,30,842,0
526,75,1976,0
527,31,707,0
528,66,1591,0
529,72,2290,0
530,41,880,0
531,68,1558,0
532,86,2297,0
533,64,1498,0
534,57,1316,0
535,54,1350,0
536,31,662,0
537,35,848,0
538,64,1590,0
539,50,1023,0
540,59,1373,0
541,69,1926,0
542,69,1575,0
543,76,2372,0
544,58,1489,0
545,94,2855,0
546,44,851,0
547,50,1073,0
548,82,2103,0
549,66,1745,0
550,54,1188,0
551,50,1035,0
552,54,1193,0
553,51,1111,0
554,78,2091,0
555,61,1519,0
556,73,1617,0
557,61,1312,0
558,91,2503,0
559,61,1510,0
560,59,1458,0
561,57,1394,0
562,44,787,0
563,87,2120,0
564,83,2771,0
565,77,1811,0
566,82,2511,0
567,83,2221,0
568,38,818,0
569,50,974,0
570,81,2144,0
571,65,1517,0
572,81,1966,0
573,54,1187,0
574,41,875,0
